names_clean,names_raw,region_id,repo_id,date_num,vol_capacity_mean,vol_capacity_ste,sa_capacity,mean_x_pos,mean_y_pos
wMirzanagar_12152017_8_b,w_Mirzanagar_12152017_8_b,35,22458,737044,2545.18543473175,760.057745272062,1088,710796.558427077,2651832.15005231
wMirzanagar_12152017_90_n,w_Mirzanagar_12152017_90,35,22540,737044,126.520829271572,19.9054956677642,112,710317.078082062,2652026.31533562
wMirzanagar_12152017_91_n,w_Mirzanagar_12152017_91,35,22541,737044,40.7513095957149,3.21608469559013,45,710294.131097182,2652027.92596091
wMirzanagar_12152017_92_b,w_Mirzanagar_12152017_92_b,35,22542,737044,4075.77642908313,1004.11669359198,1509,710299.946106214,2651985.72351786
wMirzanagar_12152017_93_b,w_Mirzanagar_12152017_93_b,35,22543,737044,5927.4158384403,1369.74178961053,1892,710292.964813818,2651943.07403636
wMirzanagar_12152017_94_b,w_Mirzanagar_12152017_94_b,35,22544,737044,1574.85171969326,361.384555593983,771,710290.203369889,2651907.56932556
wMirzanagar_12152017_95_b,w_Mirzanagar_12152017_95_b,35,22545,737044,1785.46581871698,471.285333398488,868,710281.463971083,2651882.3902125
wMirzanagar_12152017_96_b,w_Mirzanagar_12152017_96_b,35,22546,737044,131.030954475166,20.4152983819162,118,710250.328062857,2651881.03916286
wMirzanagar_12152017_97_b,w_Mirzanagar_12152017_97_b,35,22547,737044,5057.34151885979,1175.42801038164,1713,710260.137064947,2651852.24818684
wMirzanagar_12152017_98_n,w_Mirzanagar_12152017_98,35,22548,737044,958.754023898101,171.004231221846,593,710254.135480954,2651801.49171364
wMirzanagar_12152017_99_n,w_Mirzanagar_12152017_99,35,22549,737044,26.1982760765048,1.3227251673269,32,710248.339308545,2651833.43105364
wMirzanagar_12152017_9_b,w_Mirzanagar_12152017_9_b,35,22459,737044,874.603638169138,240.990486012263,548,710817.5908466,2651803.856893
wMirzanagar_12212016_100_b,w_Mirzanagar_12212016_100_b,35,22040,736685,1201.84895124749,326.93044095462,720,710205.93990475,2651852.51729
wMirzanagar_12212016_101_b,w_Mirzanagar_12212016_101_b,35,22041,736685,15798.6678160695,2223.4012966605,3589,710177.41033975,2651879.2009675
wMirzanagar_12212016_102_n,w_Mirzanagar_12212016_102,35,22042,736685,131.948074338482,18.3543776952417,118,710215.664594111,2651870.24706556
wMirzanagar_12212016_103_b,w_Mirzanagar_12212016_103_b,35,22043,736685,9336.25626806172,1862.21669652116,2607,710150.052838333,2651939.18323476
wMirzanagar_12212016_104_b,w_Mirzanagar_12212016_104_b,35,22044,736685,4710.19556649296,1010.27561130956,1632,710193.525730267,2651964.37140067
wMirzanagar_12212016_105_b,w_Mirzanagar_12212016_105_b,35,22045,736685,2074.40263380519,646.957124376838,995,710237.76206725,2651909.713965
wMirzanagar_12212016_106_b,w_Mirzanagar_12212016_106_b,35,22046,736685,2244.93825386043,559.995330421451,1021,710243.723686286,2651937.20778143
wMirzanagar_12212016_107_b,w_Mirzanagar_12212016_107_b,35,22047,736685,1590.31737053472,423.922329960782,818,710249.6785931,2651965.494449
wMirzanagar_12212016_108_b,w_Mirzanagar_12212016_108_b,35,22048,736685,226.162028579565,40.4642853977577,187,710271.024633167,2651980.08926167
wMirzanagar_12212016_109_n,w_Mirzanagar_12212016_109,35,22049,736685,45.7899372823916,4.05141336225798,50,710275.445195385,2652004.38308
wMirzanagar_12212016_10_b,w_Mirzanagar_12212016_10_b,35,21950,736685,832.419450240874,219.164489025025,512,710819.0922083,2651800.261387
wMirzanagar_12212016_110_b,w_Mirzanagar_12212016_110_b,35,22050,736685,368.118591746498,78.8112684694238,281,710278.924205857,2652028.16615857
wMirzanagar_12212016_111_b,w_Mirzanagar_12212016_111_b,35,22051,736685,567.800017477356,129.899684730784,382,710263.858099125,2652030.96507625
