names_clean,names_raw,region_id,rep_id,date_num
Bahirchar_01092018_12_n,Bahirchar_01092018_12,2,25843,737069
Bahirchar_01092018_13_n,Bahirchar_01092018_13,2,25844,737069
Bahirchar_01092018_14_n,Bahirchar_01092018_14,2,25845,737069
Bahirchar_01092018_15_n,Bahirchar_01092018_15,2,25846,737069
Bahirchar_01092018_16_n,Bahirchar_01092018_16,2,25847,737069
Bahirchar_01092018_17_n,Bahirchar_01092018_17,2,25848,737069
Bahirchar_01092018_18_n,Bahirchar_01092018_18,2,25849,737069
Bahirchar_01092018_19_n,Bahirchar_01092018_19,2,25850,737069
Bahirchar_01092018_1_b,Bahirchar_01092018_1_b,2,25832,737069
Bahirchar_01092018_20_b,Bahirchar_01092018_20_b,2,25851,737069
Bahirchar_01092018_21_b,Bahirchar_01092018_21_b,2,25852,737069
Bahirchar_01092018_22_b,Bahirchar_01092018_22_b,2,25853,737069
Bahirchar_01092018_23_b,Bahirchar_01092018_23_b,2,25854,737069
Bahirchar_01092018_24_b,Bahirchar_01092018_24_b,2,25855,737069
Bahirchar_01092018_25_b,Bahirchar_01092018_25_b,2,25856,737069
Bahirchar_01092018_26_b,Bahirchar_01092018_26_b,2,25857,737069
Bahirchar_01092018_27_b,Bahirchar_01092018_27_b,2,25858,737069
Bahirchar_01092018_28_b,Bahirchar_01092018_28_b,2,25859,737069
Bahirchar_01092018_29_b,Bahirchar_01092018_29_b,2,25860,737069
Bahirchar_01092018_2_n,Bahirchar_01092018_2,2,25833,737069
Bahirchar_01092018_30_b,Bahirchar_01092018_30_b,2,25861,737069
Bahirchar_01092018_31_b,Bahirchar_01092018_31_b,2,25862,737069
Bahirchar_01092018_32_b,Bahirchar_01092018_32_b,2,25863,737069
Bahirchar_01092018_33_n,Bahirchar_01092018_33,2,25864,737069
Bahirchar_01092018_34_b,Bahirchar_01092018_34_b,2,25865,737069
Bahirchar_01092018_35_b,Bahirchar_01092018_35_b,2,25866,737069
Bahirchar_01092018_36_b,Bahirchar_01092018_36_b,2,25867,737069
Bahirchar_01092018_3_n,Bahirchar_01092018_3,2,25834,737069
Bahirchar_01092018_4_n,Bahirchar_01092018_4,2,25835,737069
Bahirchar_01092018_5_n,Bahirchar_01092018_5,2,25836,737069
Bahirchar_01092018_6_n,Bahirchar_01092018_6,2,25837,737069
Bahirchar_01092018_7_n,Bahirchar_01092018_7,2,25838,737069
Bahirchar_01092018_8_n,Bahirchar_01092018_8,2,25839,737069
Bahirchar_01092018_9_n,Bahirchar_01092018_9,2,25840,737069
Bahirchar_01132016_10_n,Bahirchar_01132016_10,2,25598,736342
Bahirchar_01132016_11_n,Bahirchar_01132016_11,2,25599,736342
Bahirchar_01132016_12_b,Bahirchar_01132016_12_b,2,25600,736342
Bahirchar_01132016_13_b,Bahirchar_01132016_13_b,2,25601,736342
Bahirchar_01132016_14_b,Bahirchar_01132016_14_b,2,25602,736342
