region_name,region_id,repo_rank_vec,primary_sample_flag,date_1,date_2,repo_name_raw,repo_name_clean,mean_x_pos,mean_y_pos,mean_pca_pos,date_1_num
Bahirchar,2,11,1,11232015,12082015,Bahirchar_11232015_4,Bahirchar_11232015_4_n,706075.4794885,706075.4794885,-2987.20058517747,736291
Bahirchar,2,12,1,11232015,12082015,Bahirchar_11232015_7,Bahirchar_11232015_7_n,706030.14093475,706030.14093475,-3084.76756371608,736291
Bahirchar,2,13,1,11232015,12082015,Bahirchar_11232015_20,Bahirchar_11232015_20_n,706139.5556815,706139.5556815,-2800.24697955836,736291
Bahirchar,2,14,1,11232015,12082015,Bahirchar_11232015_25_b,Bahirchar_11232015_25_b,706117.397469177,706117.397469177,-2853.71293403993,736291
Bahirchar,2,15,0,11232015,12082015,Bahirchar_11232015_15_b,Bahirchar_11232015_15_b,706054.309289286,706054.309289286,-3083.69196344036,736291
Bahirchar,2,16,0,11232015,12082015,Bahirchar_11232015_1,Bahirchar_11232015_1_n,705960.23117575,705960.23117575,-3217.98975716546,736291
Bahirchar,2,17,0,11232015,12082015,Bahirchar_11232015_17,Bahirchar_11232015_17_n,705959.779458208,705959.779458208,-3161.74760555886,736291
Bahirchar,2,18,0,11232015,12082015,Bahirchar_11232015_26,Bahirchar_11232015_26_n,706098.497220154,706098.497220154,-2866.89669471615,736291
Bahirchar,2,19,0,11232015,12082015,Bahirchar_11232015_10,Bahirchar_11232015_10_n,706055.855224929,706055.855224929,-3025.63572462826,736291
Bahirchar,2,20,0,11232015,12082015,Bahirchar_11232015_24,Bahirchar_11232015_24_n,706127.81458725,706127.81458725,-2830.19426708608,736291
Bahirchar,2,21,0,11232015,12082015,Bahirchar_11232015_12_b,Bahirchar_11232015_12_b,706152.4450948,706152.4450948,-2762.8833507524,736291
Bahirchar,2,22,0,11232015,12082015,Bahirchar_11232015_3,Bahirchar_11232015_3_n,706070.969619844,706070.969619844,-2969.26269453113,736291
Bahirchar,2,23,0,11232015,12082015,Bahirchar_11232015_2,Bahirchar_11232015_2_n,706094.6819865,706094.6819865,-2930.20647657269,736291
Bahirchar,2,24,0,11232015,12082015,Bahirchar_11232015_27,Bahirchar_11232015_27_n,706158.680829167,706158.680829167,-2775.37407094282,736291
Bahirchar,2,25,0,11232015,12082015,Bahirchar_11232015_22,Bahirchar_11232015_22_n,706128.221207471,706128.221207471,-2818.23429020011,736291
Bahirchar,2,26,0,11232015,12082015,Bahirchar_11232015_21_b,Bahirchar_11232015_21_b,706114.446407938,706114.446407938,-2820.87654313343,736291
Bahirchar,2,27,0,11232015,12082015,Bahirchar_11232015_18_b,Bahirchar_11232015_18_b,706048.228629,706048.228629,-3101.76103540998,736291
Bahirchar,2,28,0,11232015,12082015,Bahirchar_11232015_11,Bahirchar_11232015_11_n,706058.832150786,706058.832150786,-3068.42294926812,736291
Bahirchar,2,29,0,11232015,12082015,Bahirchar_11232015_5,Bahirchar_11232015_5_n,706049.245508739,706049.245508739,-3027.81912932147,736291
Bahirchar,2,1,1,01092018,01242018,Bahirchar_01092018_14,Bahirchar_01092018_14_n,706026.654142,706026.654142,-3147.25250870308,737069
Bahirchar,2,2,1,01092018,01242018,Bahirchar_01092018_32_b,Bahirchar_01092018_32_b,706098.1363322,706098.1363322,-2911.0403532394,737069
Bahirchar,2,3,1,01092018,01242018,Bahirchar_01092018_2,Bahirchar_01092018_2_n,706107.236300539,706107.236300539,-2880.08166479666,737069
Bahirchar,2,4,1,01092018,01242018,Bahirchar_01092018_31_b,Bahirchar_01092018_31_b,706096.92851175,706096.92851175,-2903.82109132184,737069
Bahirchar,2,5,1,01092018,01242018,Bahirchar_01092018_22_b,Bahirchar_01092018_22_b,706118.279674095,706118.279674095,-2817.33840076641,737069
Bahirchar,2,6,1,01092018,01242018,Bahirchar_01092018_21_b,Bahirchar_01092018_21_b,706144.232025143,706144.232025143,-2799.78179228006,737069
Bahirchar,2,7,1,01092018,01242018,Bahirchar_01092018_19,Bahirchar_01092018_19_n,706143.27421975,706143.27421975,-2789.59930949932,737069
Bahirchar,2,8,1,01092018,01242018,Bahirchar_01092018_4,Bahirchar_01092018_4_n,706073.069789214,706073.069789214,-2955.13418871576,737069
Bahirchar,2,9,1,01092018,01242018,Bahirchar_01092018_17,Bahirchar_01092018_17_n,705988.764304667,705988.764304667,-3196.98126889731,737069
Bahirchar,2,10,1,01092018,01242018,Bahirchar_01092018_28_b,Bahirchar_01092018_28_b,706071.989128067,706071.989128067,-2901.36650280637,737069
Bahirchar,2,11,1,01092018,01242018,Bahirchar_01092018_33,Bahirchar_01092018_33_n,706082.025456083,706082.025456083,-2922.59396856513,737069
Bahirchar,2,12,1,01092018,01242018,Bahirchar_01092018_23_b,Bahirchar_01092018_23_b,706114.962254909,706114.962254909,-2839.14984215189,737069
Bahirchar,2,13,1,01092018,01242018,Bahirchar_01092018_18,Bahirchar_01092018_18_n,705960.730629207,705960.730629207,-3246.39712524085,737069
Bahirchar,2,14,1,01092018,01242018,Bahirchar_01092018_15,Bahirchar_01092018_15_n,706031.978586909,706031.978586909,-3158.26515984841,737069
Bahirchar,2,15,0,01092018,01242018,Bahirchar_01092018_10_b,Bahirchar_01092018_10_b,706060.190410267,706060.190410267,-3079.69496915323,737069
Bahirchar,2,16,0,01092018,01242018,Bahirchar_01092018_20_b,Bahirchar_01092018_20_b,705997.148703722,705997.148703722,-3228.97176312943,737069
Bahirchar,2,17,0,01092018,01242018,Bahirchar_01092018_36_b,Bahirchar_01092018_36_b,706111.995204826,706111.995204826,-2648.68900990012,737069
Bahirchar,2,18,0,01092018,01242018,Bahirchar_01092018_29_b,Bahirchar_01092018_29_b,706112.945250077,706112.945250077,-2865.21068728435,737069
Bahirchar,2,19,0,01092018,01242018,Bahirchar_01092018_1_b,Bahirchar_01092018_1_b,706010.095291071,706010.095291071,-3203.66174150023,737069
Bahirchar,2,20,0,01092018,01242018,Bahirchar_01092018_30_b,Bahirchar_01092018_30_b,706100.502365928,706100.502365928,-2891.85860995965,737069
Bahirchar,2,21,0,01092018,01242018,Bahirchar_01092018_5,Bahirchar_01092018_5_n,706062.7135065,706062.7135065,-2972.44007670279,737069
Bahirchar,2,22,0,01092018,01242018,Bahirchar_01092018_8,Bahirchar_01092018_8_n,706032.482109786,706032.482109786,-3061.38326760681,737069
Bahirchar,2,23,0,01092018,01242018,Bahirchar_01092018_24_b,Bahirchar_01092018_24_b,706097.670600545,706097.670600545,-2865.67731899465,737069
Bahirchar,2,24,0,01092018,01242018,Bahirchar_01092018_12,Bahirchar_01092018_12_n,705968.49735088,705968.49735088,-3181.00186470066,737069
Bahirchar,2,25,0,01092018,01242018,Bahirchar_01092018_16,Bahirchar_01092018_16_n,706026.495090467,706026.495090467,-3175.47104839926,737069
Bahirchar,2,26,0,01092018,01242018,Bahirchar_01092018_6,Bahirchar_01092018_6_n,706050.5827916,706050.5827916,-2990.49347269967,737069
Bahirchar,2,27,0,01092018,01242018,Bahirchar_01092018_34_b,Bahirchar_01092018_34_b,706096.099648667,706096.099648667,-2918.979239408,737069
Bahirchar,2,28,0,01092018,01242018,Bahirchar_01092018_25_b,Bahirchar_01092018_25_b,706117.9238406,706117.9238406,-2857.91444480506,737069
Bahirchar,2,29,0,01092018,01242018,Bahirchar_01092018_26_b,Bahirchar_01092018_26_b,706121.729074462,706121.729074462,-2861.56701965733,737069
Bahirchar,2,30,0,01092018,01242018,Bahirchar_01092018_3,Bahirchar_01092018_3_n,706111.245650813,706111.245650813,-2674.64094868007,737069
Bahirchar,2,1,1,03042018,03152018,Bahirchar_03042018_3,Bahirchar_03042018_3_n,706116.699025308,706116.699025308,-2861.39449015877,737123
Bahirchar,2,2,1,03042018,03152018,Bahirchar_03042018_23_b,Bahirchar_03042018_23_b,706114.899160357,706114.899160357,-2902.23042790478,737123
Bahirchar,2,3,1,03042018,03152018,Bahirchar_03042018_13,Bahirchar_03042018_13_n,705952.626340914,705952.626340914,-3195.76198166969,737123
Bahirchar,2,4,1,03042018,03152018,Bahirchar_03042018_6,Bahirchar_03042018_6_n,706086.461361923,706086.461361923,-2918.79647539725,737123
Bahirchar,2,5,1,03042018,03152018,Bahirchar_03042018_17_b,Bahirchar_03042018_17_b,706026.874048333,706026.874048333,-3174.21492013126,737123
Bahirchar,2,6,1,03042018,03152018,Bahirchar_03042018_2,Bahirchar_03042018_2_n,706072.818680294,706072.818680294,-2898.79403466534,737123
Bahirchar,2,7,1,03042018,03152018,Bahirchar_03042018_24_b,Bahirchar_03042018_24_b,706094.834745474,706094.834745474,-2928.24137481901,737123
Bahirchar,2,8,1,03042018,03152018,Bahirchar_03042018_11_b,Bahirchar_03042018_11_b,706056.557511188,706056.557511188,-3092.72529481006,737123
Bahirchar,2,9,1,03042018,03152018,Bahirchar_03042018_12,Bahirchar_03042018_12_n,706053.762130813,706053.762130813,-3104.56185903942,737123
Bahirchar,2,10,1,03042018,03152018,Bahirchar_03042018_16,Bahirchar_03042018_16_n,706029.801430071,706029.801430071,-3155.88419694108,737123
Bahirchar,2,11,1,03042018,03152018,Bahirchar_03042018_22_b,Bahirchar_03042018_22_b,706119.478114867,706119.478114867,-2890.96815165959,737123
Bahirchar,2,12,1,03042018,03152018,Bahirchar_03042018_19_b,Bahirchar_03042018_19_b,706131.841172914,706131.841172914,-2830.85281416661,737123
Bahirchar,2,13,1,03042018,03152018,Bahirchar_03042018_14,Bahirchar_03042018_14_n,706035.435537882,706035.435537882,-3127.23495094905,737123
Bahirchar,2,14,1,03042018,03152018,Bahirchar_03042018_18_b,Bahirchar_03042018_18_b,705972.672514467,705972.672514467,-3209.79458014213,737123
Bahirchar,2,15,0,03042018,03152018,Bahirchar_03042018_4,Bahirchar_03042018_4_n,706112.632757273,706112.632757273,-2873.56354340659,737123
Bahirchar,2,16,0,03042018,03152018,Bahirchar_03042018_20_b,Bahirchar_03042018_20_b,705976.7810315,705976.7810315,-3229.08618350463,737123
Bahirchar,2,17,0,03042018,03152018,Bahirchar_03042018_26_b,Bahirchar_03042018_26_b,706098.628831375,706098.628831375,-2941.43954318914,737123
Bahirchar,2,18,0,03042018,03152018,Bahirchar_03042018_5,Bahirchar_03042018_5_n,706104.200059125,706104.200059125,-2896.63665579442,737123
Bahirchar,2,19,0,03042018,03152018,Bahirchar_03042018_9,Bahirchar_03042018_9_n,706062.443145909,706062.443145909,-2969.32656040982,737123
Bahirchar,2,20,0,03042018,03152018,Bahirchar_03042018_10_b,Bahirchar_03042018_10_b,706007.561832478,706007.561832478,-3130.12379345533,737123
Bahirchar,2,21,0,03042018,03152018,Bahirchar_03042018_25_b,Bahirchar_03042018_25_b,706071.65986425,706071.65986425,-2956.95692640007,737123
