ORIG_FID,repose_angle,vol_est,vol_ste
334,30,55.6048027471314,5.55456936542658
335,30,482.501148624406,103.013807680179
336,30,60.3942785648577,5.65020998339505
337,30,576.508759405619,134.12177451254
338,30,668.025859419397,142.150363792295
339,30,154.898553660233,24.6159962208787
340,30,63.6130878109385,5.84676957764005
341,30,1416.21935138907,346.355159238515
342,30,441.018946687222,68.0405645929024
343,30,451.802576003573,86.5724387688275
344,30,867.652009202051,205.913632177217
345,30,1130.52311619191,300.208336190505
346,30,773.598297879748,190.332286212042
347,30,365.932021871318,66.5743437871936
348,30,783.424481305893,192.22374695442
349,30,636.38372734924,174.470306641379
350,30,103.859399791105,12.8928301346896
351,30,738.667158312951,152.704675765248
352,30,615.229935535713,138.223532453416
353,30,517.475258088231,117.420241442188
354,30,440.794293722693,89.4414282662571
355,30,478.257527722,97.7517933968571
356,30,453.439068758251,111.905175573307
357,30,623.112193850036,128.156410624188
358,30,584.566442792489,130.065404883675
359,30,3355.73553620497,742.694062919995
360,30,715.848332508216,143.481290752376
361,30,387.482788154293,69.1049975784765
362,30,223.080906703204,33.0010418370572
363,30,809.840447741,197.196139824975
364,30,634.834986971902,154.260703499802
365,30,533.21174057483,119.282904052708
366,30,354.040902398689,81.9278418877671
367,30,290.121213236962,45.8627057376129
368,30,283.361414600491,53.738324485913
369,30,2964.05281773298,764.627379386023
370,30,121.026836843959,19.6174271701204
371,30,333.18165756489,67.3315121383829
372,30,172.026300672138,30.9252041190846
373,30,241.225122284432,41.7077681168882
374,30,97.7238972699754,9.92973725991325
375,30,210.365934532096,35.7326095095017
376,30,201.529507923703,29.0952494847419
377,30,210.359697080197,29.9395524596292
378,30,202.098725266806,32.9803077927755
379,30,53.6124388253122,4.50755180599137
380,30,623.393304231093,143.40996295605
381,30,62.4155431288858,3.89871033903365
382,30,91.9670822712183,10.2377890888601
383,30,47.9256372049056,3.94350338119183
384,30,122.931565534501,15.1292538428663
385,30,41.2390296057394,3.01236735243519
386,30,55.364759875367,3.61470250845702
387,30,79.9304630415583,8.13859687857487
388,30,171.836350891281,24.4536623330994
389,30,317.807660710646,61.4683943771044
390,30,7.95031191781412,0.0815603868691227
391,30,313.162371249912,57.5981949904401
392,30,84.1950122059413,7.25097953611582
393,30,288.434946724566,52.6709185857836
394,30,190.990548145143,27.9056791608722
395,30,428.447815672503,97.1837186249321
396,30,484.397301751497,77.8088730804414
397,30,503.021415423193,99.9856167420435
398,30,89.8512461892447,10.2827196160857
399,30,63.0588811840393,6.46593060441579
400,30,142.261641926874,8.32856727243341
401,30,30.2697743045086,0.850910336974913
402,30,27.0504977711034,0.842481315495143
403,30,474.334867530964,80.5380629023547
404,30,331.954787027972,40.1836061015832
405,30,231.515621266574,36.3282516118681
406,30,96.5436835370623,9.06043707641799
407,30,90.0762422990214,10.8524812064958
408,30,232.671594229754,42.5456482678808
409,30,139.886474952333,19.8047553627199
410,30,946.736223853888,226.963153904413
411,30,57.4008178741758,4.79668131069876
412,30,54.0062286919104,5.53782881547092
413,30,35.4194526023688,1.84055604306944
414,30,197.053528737672,36.8124678375391
415,30,42.9951892215666,3.36310878226998
416,30,32.0256501066705,1.01704356313242
417,30,97.8317311557977,8.14695626330884
418,30,73.3516151543876,3.70996538403834
419,30,407.860507719132,67.4088364204393
420,30,464.839230801352,84.4999876715189
421,30,376.973876766519,56.7884784418774
422,30,222.456915381603,32.7310515563503
423,30,281.444771557851,46.7571183819089
424,30,160.732890650236,24.1547856013537
425,30,74.5140670374373,6.76278722150629
426,30,46.3106332032068,2.63971007630258
427,30,85.1086601779772,7.52469396777845
428,30,38.0416231002796,2.02125024822091
429,30,117.296168638657,16.7670507002376
430,30,108.404808449899,11.9716004172246
431,30,53.4660612686153,4.275906428695
432,30,21.5838393789334,0.642109875494256
433,30,356.343466061766,70.0773987338381
434,30,122.399128773565,12.7012222086261
435,30,133.137186927309,15.2150662093838
436,30,86.8262557295632,5.30358279745989
437,30,176.029705154322,23.6998501307953
438,30,149.640446066409,13.9100610974101
439,30,115.832429844852,7.77098464067895
440,30,535.123817069701,99.3895509015206
441,30,189.484667465527,29.2801240271211
442,30,168.29498195477,20.8852769004738
443,30,67.7104583044536,5.72036043928714
444,30,21.7694354333368,0.3058231868764
445,30,24.250536027454,0.837684693278647
446,30,32.6007472389475,1.74296751265905
447,30,394.32576890662,63.415168752055
448,30,30.2211337712427,1.53879695178101
449,30,112.668676320101,13.2036347641302
450,30,285.597388676576,55.6775455243869
451,30,181.187030736487,24.6060283080801
452,30,118.075873718239,10.6766640783992
453,30,228.953684734028,35.3365382275206
454,30,25.2026233595383,1.06180467144731
455,30,632.371226245644,127.063750274354
456,30,388.322288471025,69.0432277931301
457,30,354.577670585767,66.0183813129245
458,30,295.85894760919,41.0655586000692
459,30,169.986154285965,22.7311248087779
460,30,117.943059000601,14.70727396714
461,30,179.792043700711,16.4628514160394
462,30,87.5390383379441,10.4383592101977
463,30,207.863420182832,36.5802380222955
464,30,176.362152823962,21.6172130558116
465,30,31.0501987295848,1.68416614866068
466,30,263.967235285873,56.4905384138923
467,30,175.042778824727,18.4094219987339
468,30,32.3156780495761,1.79386468148968
469,30,259.817680346371,34.9805817717695
470,30,549.899213104694,120.712899314163
471,30,154.357610936997,15.9559381815037
472,30,204.639399168061,23.7825264522355
473,30,220.455708958832,35.9603634190069
474,30,157.644439626537,22.6296863708052
475,30,41.6927334877053,3.28718999731279
476,30,34.9430346868911,2.07099568002458
477,30,166.580442588184,21.0579499453025
478,30,93.4208431146466,7.40384312947026
479,30,98.345254207996,9.3800581807246
480,30,256.179783926376,46.8509024607835
481,30,81.6244057181307,6.61088530886099
482,30,75.5523257067755,7.64718612449274
483,30,49.437783496839,2.6577288607629
484,30,237.672810128159,31.4838569632005
485,30,26.0779883299986,0.986023329382444
486,30,14.2557716685379,0.270343300885419
487,30,164.714447403433,15.1480636169407
488,30,47.2491230981868,3.86793897675026
489,30,64.4018584066786,5.97408069040553
490,30,52.5837761792231,3.40885301339922
491,30,72.8069168818554,7.54678971118067
492,30,16.0779586215474,0.0827027074319982
493,30,65.1715516749757,6.08219823511361
494,30,26.3571485542024,1.24411718561753
495,30,231.528055739018,27.9150476318716
496,30,283.715654885501,38.1814074383226
497,30,314.075970283504,45.9425335808917
498,30,418.092263129666,80.9645828846572
499,30,375.320753186579,68.9616054378996
500,30,232.299955638103,38.2254761246882
501,30,451.679419299415,79.0035667843219
502,30,471.21534311473,102.647370351991
503,30,358.372301667967,60.6917538380926
504,30,492.532818192919,98.7788821256825
