FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
17664,0,f25_160226,271,144,-576493.315642999950000,-691433.393051999970000
17665,0,f25_160226,271,144,-576493.182799999950000,-691431.940195000030000
17666,0,f25_160226,271,144,-576493.126628999950000,-691430.761657999940000
17667,0,f25_160226,271,144,-576493.091263000040000,-691428.679117999970000
17668,0,f25_160226,271,144,-576493.460567999980000,-691427.064493000040000
17669,0,f25_160226,271,144,-576493.404404000030000,-691425.886071000020000
17670,0,f25_160226,271,144,-576493.522582000010000,-691424.352274999950000
17671,0,f25_160226,271,144,-576493.138607000000000,-691422.980130000040000
17672,0,f25_160226,271,144,-576493.507917999990000,-691421.365620000060000
17673,0,f25_160226,271,144,-576493.528618999990000,-691420.461507000030000
17674,0,f25_160226,271,144,-576493.646805000030000,-691418.927826000030000
17675,0,f25_160226,271,144,-576493.764983000000000,-691417.394028999960000
17676,0,f25_160226,271,144,-576493.632042999960000,-691415.941176999940000
17677,0,f25_160226,271,144,-576493.729520000050000,-691415.311494000020000
17678,0,f25_160226,271,144,-576493.268767999950000,-691413.664919000000000
17679,0,f25_160226,271,144,-576493.135828000030000,-691412.212065999980000
17680,0,f25_160226,271,144,-576492.598300999960000,-691410.291060999970000
17681,0,f25_160226,271,144,-576492.367877000010000,-691409.467776000030000
17682,0,f25_160226,271,144,-576491.830357000000000,-691407.546886999970000
17683,0,f25_160226,271,144,-576491.446381999990000,-691406.174741000050000
17684,0,f25_160226,271,144,-576490.811281000030000,-691404.883425000010000
17685,0,f25_160226,271,144,-576489.925153000050000,-691403.672932000020000
17686,0,f25_160226,271,144,-576489.290059000020000,-691402.381731000030000
17687,0,f25_160226,271,144,-576488.557481999970000,-691401.720098000020000
17688,0,f25_160226,271,144,-576487.999255000030000,-691400.703206000030000
17689,0,f25_160226,271,144,-576486.938873999980000,-691399.847964999960000
17690,0,f25_160226,271,144,-576485.801621000050000,-691398.718299999950000
17691,0,f25_160226,271,144,-576484.238990999990000,-691398.024716999960000
17692,0,f25_160226,271,144,-576483.408936999970000,-691397.992768000000000
17693,0,f25_160226,271,144,-576482.174200000010000,-691397.492669999950000
17694,0,f25_160226,271,144,-576480.339839000020000,-691397.784024000050000
17695,0,f25_160226,271,144,-576479.007632000020000,-691397.913724999990000
17696,0,f25_160226,271,144,-576477.598643000000000,-691397.768881000000000
17697,0,f25_160226,271,144,-576476.517560999960000,-691397.817752999950000
17698,0,f25_160226,271,144,-576475.011003999970000,-691398.302712999980000
17699,0,f25_160226,271,144,-576474.006689999950000,-691398.625899999980000
17700,0,f25_160226,271,144,-576472.500229000000000,-691399.110853999970000
17701,0,f25_160226,271,144,-576471.244796999960000,-691399.514985000020000
17702,0,f25_160226,271,144,-576469.989356999980000,-691399.918999999990000
17703,0,f25_160226,271,144,-576468.734021999990000,-691400.323125000000000
17704,0,f25_160226,271,144,-576467.652843000020000,-691400.372003000000000
17705,0,f26_160226,1206,145,-576497.017059999980000,-691424.124816000000000
17706,0,f26_160226,1206,145,-576497.560624000030000,-691422.155051999960000
17707,0,f26_160226,1206,145,-576498.083479000020000,-691421.089287000010000
17708,0,f26_160226,1206,145,-576498.299141000020000,-691418.925921999970000
17709,0,f26_160226,1206,145,-576498.668451000010000,-691417.311411999980000
17710,0,f26_160226,1206,145,-576498.863404999950000,-691416.052045000020000
17711,0,f26_160226,1206,145,-576499.058358000010000,-691414.792678000060000
17712,0,f26_160226,1206,145,-576499.350892000020000,-691412.903736999960000
17713,0,f26_160226,1206,145,-576499.971222999970000,-691411.208286999960000
17714,0,f26_160226,1206,145,-576500.166182999960000,-691409.949035999950000
17715,0,f26_160226,1206,145,-576500.786514000040000,-691408.253585999950000
17716,0,f26_160226,1206,145,-576501.811528000050000,-691407.026282000010000
17717,0,f26_160226,1206,145,-576502.662282999950000,-691406.154117000060000
17718,0,f26_160226,1206,145,-576503.415568999950000,-691405.911749999970000
17719,0,f26_160226,1206,145,-576504.419876000030000,-691405.588443999990000
17720,0,f26_160226,1206,145,-576505.926335999970000,-691405.103485999980000
17721,0,f26_160226,1206,145,-576506.428489999960000,-691404.941833000050000
17722,0,f26_160226,1206,145,-576508.186082000030000,-691404.376159999990000
17723,0,f26_160226,1206,145,-576509.441513999950000,-691403.972024000020000
17724,0,f26_160226,1206,145,-576511.352657999960000,-691403.955211000050000
17725,0,f26_160226,1206,145,-576512.587390000000000,-691404.455187999990000
