ORIG_FID,POINT_X,POINT_Y,Area
2,-607374.2503,-650007.6664,1140
2,-607373.6238,-650007.278,1140
2,-607372.6844,-650006.6954,1140
2,-607371.3627,-650005.6546,1140
2,-607370.4242,-650005.0728,1140
2,-607369.1737,-650004.2974,1140
2,-607367.9237,-650003.5224,1140
2,-607366.7438,-650003.012,1140
2,-607365.8074,-650002.4315,1140
2,-607364.9405,-650002.115,1140
2,-607364.109,-650000.9364,1140
2,-607363.1045,-650000.0929,1140
2,-607362.3431,-649999.1791,1140
2,-607361.2705,-649998.0728,1140
2,-607360.4409,-649996.8965,1140
2,-607359.9228,-649995.9135,1140
2,-607359.4049,-649994.9311,1140
3,-607343.9326,-650021.6503,1739
3,-607344.1396,-650020.4576,1739
3,-607343.033,-650020.2166,1739
3,-607341.5811,-650020.6426,1739
3,-607339.6456,-650021.2106,1739
3,-607339.1618,-650021.3526,1739
3,-607338.0216,-650021.9699,1739
3,-607336.9504,-650022.8499,1739
3,-607336.4318,-650023.8504,1739
3,-607336.0511,-650025.3766,1739
3,-607335.6012,-650026.6403,1739
3,-607335.2202,-650028.1673,1739
3,-607334.8041,-650030.5545,1739
3,-607334.285,-650031.5563,1739
3,-607333.87,-650031.9611,1739
3,-607333.2466,-650033.5602,1739
3,-607332.3123,-650034.9673,1739
3,-607330.9627,-650036.7794,1739
