FID,Id,name,area,ORIG_FID,POINT_X,POINT_Y
126,0,f1_perimeter,986,0,-576516.368,-691341.0795
127,0,f1_perimeter,986,0,-576516.0834,-691339.8649
128,0,f1_perimeter,986,0,-576515.8937,-691339.0552
129,0,f1_perimeter,986,0,-576515.6564,-691338.043
130,0,f1_perimeter,986,0,-576515.4192,-691337.031
131,0,f1_perimeter,986,0,-576515.2295,-691336.2213
132,0,f1_perimeter,986,0,-576514.9923,-691335.2092
133,0,f1_perimeter,986,0,-576514.7551,-691334.197
134,0,f2_perimeter,340,1,-576468.1114,-691374.6419
135,0,f2_perimeter,340,1,-576468.0728,-691376.158
136,0,f2_perimeter,340,1,-576468.1677,-691376.5629
137,0,f2_perimeter,340,1,-576468.1722,-691377.4221
138,0,f2_perimeter,340,1,-576468.2241,-691378.4838
139,0,f2_perimeter,340,1,-576468.4138,-691379.2934
140,0,f2_perimeter,340,1,-576468.651,-691380.3055
141,0,f2_perimeter,340,1,-576468.9356,-691381.5201
142,0,f2_perimeter,340,1,-576469.2203,-691382.7346
143,0,f2_perimeter,340,1,-576469.4575,-691383.7467
144,0,f2_perimeter,340,1,-576469.6472,-691384.5564
145,0,f2_perimeter,340,1,-576469.9318,-691385.7709
146,0,f2_perimeter,340,1,-576470.1216,-691386.5806
147,0,f2_perimeter,340,1,-576470.3113,-691387.3903
148,0,f2_perimeter,340,1,-576470.5485,-691388.4024
149,0,f2_perimeter,340,1,-576470.6909,-691389.0096
150,0,f2_perimeter,340,1,-576470.928,-691390.0217
151,0,f2_perimeter,340,1,-576471.1652,-691391.0339
152,0,f2_perimeter,340,1,-576471.5403,-691391.7939
153,0,f2_perimeter,340,1,-576471.73,-691392.6036
