FID,Id,area,ORIG_FID,POINT_X,POINT_Y
178,0,1056,1,-607413.381743000010000,-649984.889205000010000
179,0,1056,1,-607413.184295000040000,-649983.234582999950000
180,0,1056,1,-607412.744773000010000,-649981.651783999990000
181,0,1056,1,-607412.305510999980000,-649980.070015999950000
182,0,1056,1,-607410.994411999940000,-649978.174388000040000
183,0,1056,1,-607409.903498000000000,-649977.069958999990000
184,0,1056,1,-607408.958905000010000,-649976.492249000000000
185,0,1056,1,-607407.531168999970000,-649976.055674999950000
186,0,1056,1,-607405.451221999950000,-649976.093798000020000
187,0,1056,1,-607403.782705000020000,-649975.728031000010000
188,0,1056,1,-607402.187271000000000,-649975.625162999960000
189,0,1056,1,-607400.664629000010000,-649975.785213000020000
190,0,1056,1,-607399.383853000010000,-649975.874734999960000
191,0,1140,2,-607359.404872999990000,-649994.931085000050000
192,0,1140,2,-607358.201723000030000,-649995.281811999970000
193,0,1140,2,-607357.961283999960000,-649995.351899000000000
194,0,1140,2,-607357.068081000000000,-649995.895667999980000
195,0,1140,2,-607355.934342000050000,-649996.509529000030000
196,0,1140,2,-607354.868786999960000,-649997.387069000050000
197,0,1140,2,-607354.043581999950000,-649998.194644000030000
198,0,1140,2,-607353.081450999950000,-649998.475246999990000
199,0,1140,2,-607351.602546000040000,-649999.757028999970000
200,0,1140,2,-607350.295532000020000,-650000.705418000000000
201,0,1140,2,-607349.469591000000000,-650001.513620999990000
202,0,1140,2,-607348.883517000010000,-650002.251890999960000
203,0,1140,2,-607347.984316000020000,-650002.797438999990000
204,0,1140,2,-607346.911239000040000,-650003.677204999960000
205,0,1140,2,-607346.079834999980000,-650004.486456000010000
206,0,1140,2,-607345.248624000000000,-650005.295694999980000
207,0,1140,2,-607344.040873000050000,-650005.647296000040000
208,0,1140,2,-607343.074802999970000,-650005.928500000040000
209,0,1140,2,-607342.378896999990000,-650007.265161999970000
210,0,1140,2,-607342.165885000020000,-650008.461291000010000
211,0,1140,2,-607342.329323000040000,-650010.115177999950000
212,0,1140,2,-607342.492881000040000,-650011.769406000040000
213,0,1140,2,-607342.695366000060000,-650012.561504999990000
214,0,1140,2,-607343.032911999970000,-650013.881740999990000
215,0,1140,2,-607343.370479000030000,-650015.202324999960000
216,0,1140,2,-607344.330668000040000,-650016.912193999970000
217,0,1140,2,-607344.672024999980000,-650018.234397999940000
218,0,1140,2,-607345.013613000050000,-650019.557169000040000
219,0,1140,2,-607345.597030999950000,-650020.810346000010000
220,0,1140,2,-607346.285577000000000,-650021.464384000050000
221,0,1140,2,-607346.937891999960000,-650022.983289000000000
222,0,1140,2,-607347.590548999960000,-650024.502986000040000
223,0,1140,2,-607348.106407999990000,-650025.493143000060000
224,0,1140,2,-607348.691059999980000,-650026.748918000030000
225,0,1140,2,-607349.102518999950000,-650028.340496000020000
226,0,1140,2,-607349.308267000010000,-650029.136575000010000
227,0,1140,2,-607349.893497999990000,-650030.393826000040000
228,0,1140,2,-607350.721244000010000,-650031.581556000050000
229,0,1140,2,-607351.169623999970000,-650032.308455000050000
230,0,1140,2,-607352.066617000030000,-650033.762820999950000
231,0,1140,2,-607352.446613000010000,-650034.224425000020000
232,0,1140,2,-607353.033056000010000,-650035.483925999960000
233,0,1140,2,-607353.308422000030000,-650036.547896999980000
234,0,1140,2,-607354.206723000040000,-650038.004505999970000
235,0,1140,2,-607354.793850000020000,-650039.265591999980000
236,0,1140,2,-607355.069683999990000,-650040.330812999980000
237,0,1140,2,-607355.345638000060000,-650041.396376000020000
238,0,1140,2,-607355.690563000040000,-650042.728823999990000
239,0,1140,2,-607356.209439000000000,-650043.725189000020000
240,0,1140,2,-607357.319044000000000,-650043.978679999940000
241,0,1140,2,-607358.533509999980000,-650043.628859000050000
242,0,1140,2,-607359.436036000030000,-650043.082167000040000
243,0,1140,2,-607360.686107999990000,-650041.862282000020000
244,0,1140,2,-607361.519388000020000,-650041.048954000000000
245,0,1140,2,-607362.109804000010000,-650040.305750999950000
246,0,1140,2,-607363.602737999990000,-650039.015739000050000
247,0,1140,2,-607364.436120999980000,-650038.202521000060000
248,0,1140,2,-607365.512464000030000,-650037.319170000030000
249,0,1140,2,-607366.588805999960000,-650036.435819000010000
250,0,1140,2,-607367.352667000030000,-650035.356215000040000
251,0,1140,2,-607368.498524000050000,-650034.739134000030000
252,0,1140,2,-607369.262295000020000,-650033.659651000050000
253,0,1140,2,-607370.095579999960000,-650032.846437999980000
254,0,1140,2,-607370.685712000010000,-650032.103368000010000
255,0,1140,2,-607371.762054000050000,-650031.220016999990000
256,0,1140,2,-607372.525646000050000,-650030.140778000000000
257,0,1140,2,-607373.775335000010000,-650028.921030999980000
258,0,1140,2,-607374.542397000010000,-650027.842965999970000
259,0,1140,2,-607375.555257000030000,-650026.695169999960000
260,0,1140,2,-607376.393378000010000,-650025.883276000040000
261,0,1140,2,-607377.162192999970000,-650024.805332000020000
262,0,1140,2,-607378.244811999960000,-650023.923090999950000
263,0,1140,2,-607379.222074000050000,-650023.642448000030000
264,0,1140,2,-607381.282987999960000,-650022.479032999950000
265,0,1140,2,-607382.436027999970000,-650021.862071000040000
266,0,1140,2,-607384.009045999960000,-650020.838347999960000
267,0,1140,2,-607385.337930000040000,-650019.884597999980000
268,0,1140,2,-607386.177522000040000,-650019.071445000010000
